service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20240114,20240224
12,0,0,0,0,0,1,0,20240114,20240224
13,0,0,0,0,0,0,1,20240114,20240224
16,1,1,1,1,1,0,0,20240114,20240224
18,0,0,0,0,0,1,0,20240114,20240224
19,0,0,0,0,0,0,1,20240114,20240224
22,1,1,1,1,1,0,0,20240114,20240224
24,0,0,0,0,0,1,0,20240114,20240224
25,0,0,0,0,0,0,1,20240114,20240224
28,1,1,1,1,1,0,0,20240114,20240224
30,0,0,0,0,0,1,0,20240114,20240224
31,0,0,0,0,0,0,1,20240114,20240224
40,1,1,1,1,1,0,0,20240114,20240224
42,0,0,0,0,0,1,0,20240114,20240224
43,0,0,0,0,0,0,1,20240114,20240224
46,1,1,1,1,1,0,0,20240114,20240224
48,0,0,0,0,0,1,0,20240114,20240224
49,0,0,0,0,0,0,1,20240114,20240224
52,1,1,1,1,1,0,0,20240114,20240224
54,0,0,0,0,0,1,0,20240114,20240224
55,0,0,0,0,0,0,1,20240114,20240224
