route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
1,1,Parx Casino to 54th-City,3,FFFFFF,000000,
10,10,13th-Market to 63rd-Malvern,0,5A960A,000000,
101,101,Media to 69th St TC,0,DC2E6B,000000,
102,102,Sharon Hill to 69th St TC,0,DC2E6B,000000,
103,103,Ardmore to 69th St TC,3,FFFFFF,000000,
104,104,West Chester U to 69th St TC,3,FFFFFF,000000,
105,105,Rosemont to 69th St TC,3,FFFFFF,000000,
106,106,Paoli to 69th St TC,3,FFFFFF,000000,
107,107,Lawrence Park to 69th St TC,3,FFFFFF,000000,
108,108,UPS or Airport to 69th St TC,3,000000,FFFFFF,
109,109,Chester TC to 69th St TC,3,FFFFFF,000000,
11,11,13th-Market to Darby Trans Cntr,0,5A960A,000000,
110,110,Penn State U to 69th St TC,3,FFFFFF,000000,
111,111,Chadds Ford to 69th St TC,3,FFFFFF,000000,
112,112,DCCC to 69th St TC,3,FFFFFF,000000,
113,113,CLAYMONT TC to 69th St TC,3,000000,FFFFFF,
114,114,Wawa Railroad Station to Darby TC,3,FFFFFF,000000,
115,115,DCCC & Darby TC to Airport,3,FFFFFF,000000,
117,117,Penn State U to I-95 Industrial Pk,3,FFFFFF,000000,
118,118,Newtown Square to Chester TC,3,FFFFFF,000000,
119,119,Cheyney U to Chester TC,3,FFFFFF,000000,
12,12,Columbus-Dock to 50th-Woodland,3,FFFFFF,000000,
120,120,Cheyney U to 69th St TC,3,FFFFFF,000000,
123,123,King of Prussia to 69th St TC,3,FFFFFF,000000,
124,124,Chesterbrook to 13th & Market,3,FFFFFF,000000,
125,125,Valley Forge to 13th-Market,3,FFFFFF,000000,
126,126,Lawrence Park via Manoa to 69th,3,FFFFFF,000000,
127,127,Trenton TC to Oxford Valley Mall,3,FFFFFF,000000,
128,128,Neshaminy to Oxford Valley Mall,3,FFFFFF,000000,
129,129,Frankford-Knights to Oxford Valley,3,FFFFFF,000000,
13,13,13th-Market to Yeadon-Darby TC,0,5A960A,000000,
130,130,BCCC to Frankford & Knights,3,FFFFFF,000000,
131,131,Audubon to Norristown TC,3,FFFFFF,000000,
132,132,Telford to Montgomery Mall,3,FFFFFF,000000,
133,133,Frankford & Knights to Bensalem,3,FFFFFF,000000,
135,135,West Chester to Coatesville,3,FFFFFF,000000,
139,139,Limerick to King of Prussia,3,FFFFFF,000000,
14,14,FTC to Nesh/Oxford Valley Malls,3,FFFFFF,000000,
15,15,63rd-Girard to Richmond-Westmorelnd,0,FFD700,000000,
150,150,Parx Casino to Plymouth Meeting,3,FFFFFF,000000,
16,16,City Hall to Cheltenham-Ogontz,3,FFFFFF,000000,
17,17,Front-Mkt to 20-Johnston/Broad-Pat,3,000000,FFFFFF,
18,18,Fox Chase to Cedarbrook Plaza,3,000000,FFFFFF,
19,19,Torresdale Station to FTC,3,FFFFFF,000000,
2,2,20-Johnston to Pulaski-Hntg Park,3,FFFFFF,000000,
20,20,Philadelphia Mills to FTC,3,FFFFFF,000000,
201,201,Ft Wash Office Ctr to Fort Wash Sta,3,FFFFFF,000000,
204,204,Eagleview to Paoli Train Station,3,FFFFFF,000000,
206,206,Commons at Great Vly to Paoli Sta,3,FFFFFF,000000,
21,21,Penns Landing to 69th St TC,3,000000,FFFFFF,
22,22,Warminster & Willow Grove to OTC,3,FFFFFF,000000,
23,23,11th Market to Chestnut Hill,3,000000,FFFFFF,
24,24,Southampton & Rockledge to FTC,3,FFFFFF,000000,
25,25,FTC to Columbus Commons,3,FFFFFF,000000,
26,26,FTC to Chelten Av Station,3,FFFFFF,000000,
27,27,Broad-Carpenter to PlymouthMtgMall,3,FFFFFF,000000,
28,28,Fern Rock TC to Torresdale-Cottman,3,FFFFFF,000000,
29,29,Pier 70 to 33rd-Dickinson,3,FFFFFF,000000,
3,3,33rd-Cecil B. Moore to FTC,3,000000,FFFFFF,
30,30,Amtrak 30th St Sta to 69th St TC,3,FFFFFF,000000,
31,31,City Hall to 76th-City,3,FFFFFF,000000,
310,310,Horsham Breeze Red,3,FFFFFF,000000,
311,311,Horsham Breeze Blue  ,3,FFFFFF,000000,
32,32,Broad-Carpenter to Ridge-Lyceum,3,FFFFFF,000000,
33,33,5th-Market to 23rd-Venango,3,000000,FFFFFF,
34,34,13th-Market to 61st-Baltimore,0,5A960A,000000,
